codigo_provincia,provincia_residencia,fecha,positividad
082,Arauco,2020-07-07,0.10583935678485176
082,Arauco,2020-07-08,0.11840093313953157
082,Arauco,2020-07-09,0.11474607853918196
082,Arauco,2020-07-10,0.10635793447264595
082,Arauco,2020-07-11,0.10435501128745675
082,Arauco,2020-07-12,0.11873847728382599
082,Arauco,2020-07-13,0.11715476687658617
082,Arauco,2020-07-14,0.10723637390734575
082,Arauco,2020-07-15,0.10847066847755663
082,Arauco,2020-07-16,0.11212552307790623
151,Arica,2020-03-06,NA
151,Arica,2020-03-07,NA
151,Arica,2020-03-08,NA
151,Arica,2020-03-13,NA
151,Arica,2020-03-15,NA
151,Arica,2020-03-16,NA
151,Arica,2020-03-17,0.09523809523809523
151,Arica,2020-03-18,0.09523809523809523
151,Arica,2020-03-19,0.09523809523809523
151,Arica,2020-03-20,0.09523809523809523
151,Arica,2020-03-21,0.09943977591036414
151,Arica,2020-03-22,0.09943977591036414
151,Arica,2020-03-23,0.030706622271550126
151,Arica,2020-03-24,0.009201245927464106
151,Arica,2020-03-25,0.0112716393022053
151,Arica,2020-03-26,0.015353271955266526
151,Arica,2020-03-27,0.021224113442546377
151,Arica,2020-03-28,0.021732008908425034
151,Arica,2020-03-29,0.03421467187652489
151,Arica,2020-03-30,0.07407244557612917
151,Arica,2020-03-31,0.1508499307637526
151,Arica,2020-04-01,0.24894374100149091
151,Arica,2020-04-02,0.2991714353850294
151,Arica,2020-04-03,0.3006266012237569
151,Arica,2020-04-04,0.3656844669460745
151,Arica,2020-04-05,0.40177323254940317
151,Arica,2020-04-06,0.37892447455757844
151,Arica,2020-04-07,0.32906362112529636
151,Arica,2020-04-08,0.2524288292775228
151,Arica,2020-04-09,0.2164345205559414
151,Arica,2020-04-10,0.22021962434104517
151,Arica,2020-04-11,0.15938075390915146
151,Arica,2020-04-12,0.1139149153998347
151,Arica,2020-04-13,0.10313905333086917
151,Arica,2020-04-14,0.07788652807834393
151,Arica,2020-04-15,0.06501809712387259
151,Arica,2020-04-16,0.059125439057301485
151,Arica,2020-04-17,0.07699983519256719
151,Arica,2020-04-18,0.08737628306901506
151,Arica,2020-04-19,0.10435997872118898
151,Arica,2020-04-20,0.10832823268944294
151,Arica,2020-04-21,0.13497222361914815
151,Arica,2020-04-22,0.17545762728863146
151,Arica,2020-04-23,0.17136860037351756
151,Arica,2020-04-24,0.15190690265095028
151,Arica,2020-04-25,0.13657013731418494
151,Arica,2020-04-26,0.12374477411805904
151,Arica,2020-04-27,0.11607442955747058
151,Arica,2020-04-28,0.09631209424359818
151,Arica,2020-04-29,0.08377574837391898
151,Arica,2020-04-30,0.08337892297709358
151,Arica,2020-05-01,0.0890932086913793
151,Arica,2020-05-02,0.08787220747037808
151,Arica,2020-05-03,0.09648130082523416
151,Arica,2020-05-04,0.09864398255057358
151,Arica,2020-05-05,0.09829827464715904
151,Arica,2020-05-06,0.06491471687335737
151,Arica,2020-05-07,0.07126392322256371
151,Arica,2020-05-08,0.07207719235043959
151,Arica,2020-05-09,0.07313946341271063
151,Arica,2020-05-10,0.05933684091443595
151,Arica,2020-05-11,0.06257341625132476
151,Arica,2020-05-12,0.05761706477869688
151,Arica,2020-05-13,0.05628668783856383
151,Arica,2020-05-14,0.059422576340305996
151,Arica,2020-05-15,0.0614948793517336
151,Arica,2020-05-16,0.08551466908580906
151,Arica,2020-05-17,0.10274929501608716
151,Arica,2020-05-18,0.10976024142097296
151,Arica,2020-05-19,0.12310259192131111
151,Arica,2020-05-20,0.13961465129051334
151,Arica,2020-05-21,0.14877112159275788
151,Arica,2020-05-22,0.14079115666675393
151,Arica,2020-05-23,0.13565877236214
151,Arica,2020-05-24,0.1439226753628851
151,Arica,2020-05-25,0.14446780924135233
151,Arica,2020-05-26,0.1408837309819494
151,Arica,2020-05-27,0.13435311873705144
151,Arica,2020-05-28,0.14409465823814946
151,Arica,2020-05-29,0.15343147526727416
151,Arica,2020-05-30,0.16070457599831883
151,Arica,2020-05-31,0.161707082263983
151,Arica,2020-06-01,0.1729860756441437
151,Arica,2020-06-02,0.1844656674808784
151,Arica,2020-06-03,0.19439764026999404
151,Arica,2020-06-04,0.18855421815538545
151,Arica,2020-06-05,0.17428203200819933
151,Arica,2020-06-06,0.17076702849319583
151,Arica,2020-06-07,0.18029083801700535
151,Arica,2020-06-08,0.1646193259586117
151,Arica,2020-06-09,0.1700086438479296
151,Arica,2020-06-10,0.185046237832892
151,Arica,2020-06-11,0.1852843330709872
151,Arica,2020-06-12,0.1949249500704752
151,Arica,2020-06-13,0.18495344009896522
151,Arica,2020-06-14,0.19750755265307776
151,Arica,2020-06-15,0.21546428489552424
151,Arica,2020-06-16,0.2108356973072954
151,Arica,2020-06-17,0.1899319887605663
151,Arica,2020-06-18,0.1906802880802942
151,Arica,2020-06-19,0.21802230739958242
151,Arica,2020-06-20,0.23602154953675564
151,Arica,2020-06-21,0.21394362745883352
151,Arica,2020-06-22,0.21175424595910722
151,Arica,2020-06-23,0.2164125908025268
151,Arica,2020-06-24,0.24583358186034654
151,Arica,2020-06-25,0.23953754012759124
151,Arica,2020-06-26,0.23287189171508865
151,Arica,2020-06-27,0.2361034188086847
151,Arica,2020-06-28,0.2607339606806059
151,Arica,2020-06-29,0.28062785988484995
151,Arica,2020-06-30,0.2892393969852392
151,Arica,2020-07-01,0.27977587131523096
151,Arica,2020-07-02,0.2874434293964611
151,Arica,2020-07-03,0.3080138448808631
151,Arica,2020-07-04,0.3009118040645366
151,Arica,2020-07-05,0.2924025710513544
151,Arica,2020-07-06,0.3034847092521367
151,Arica,2020-07-07,0.3021573490397591
151,Arica,2020-07-08,0.30214467316195454
151,Arica,2020-07-09,0.30780778884811166
151,Arica,2020-07-10,0.3119893275912516
151,Arica,2020-07-11,0.34358906426011265
151,Arica,2020-07-12,0.37246775540137367
151,Arica,2020-07-13,0.37258669682272366
151,Arica,2020-07-14,0.39202630193306043
151,Arica,2020-07-15,0.3992809603181536
151,Arica,2020-07-16,0.42163030409606883
083,Biobío,2020-03-02,NA
083,Biobío,2020-03-03,NA
083,Biobío,2020-03-04,NA
083,Biobío,2020-03-05,NA
083,Biobío,2020-03-06,NA
083,Biobío,2020-03-09,NA
083,Biobío,2020-03-10,0.017857142857142856
083,Biobío,2020-03-11,0.017857142857142856
083,Biobío,2020-03-12,0.017857142857142856
083,Biobío,2020-03-13,0.017857142857142856
083,Biobío,2020-03-14,0.017857142857142856
083,Biobío,2020-03-15,0.017857142857142856
083,Biobío,2020-03-16,0.008403361344537816
083,Biobío,2020-03-17,0.008403361344537816
083,Biobío,2020-03-18,0.015372002459520402
083,Biobío,2020-03-19,0.019701006788524728
083,Biobío,2020-03-20,0.019701006788524728
083,Biobío,2020-03-21,0.024309301719400298
083,Biobío,2020-03-22,0.024309301719400298
083,Biobío,2020-03-23,0.026110022007515537
083,Biobío,2020-03-24,0.03476803066552419
083,Biobío,2020-03-25,0.03494224669339875
083,Biobío,2020-03-26,0.030613242364394427
083,Biobío,2020-03-28,0.030613242364394427
083,Biobío,2020-03-29,0.026004947433518857
083,Biobío,2020-03-30,0.028950455533666136
083,Biobío,2020-03-31,0.029328384483023662
083,Biobío,2020-04-01,0.020670375825015012
083,Biobío,2020-04-02,0.02526920165671755
083,Biobío,2020-04-03,0.03717396356147946
083,Biobío,2020-04-04,0.04649073374781486
083,Biobío,2020-04-05,0.0600961759246856
083,Biobío,2020-04-06,0.058774044447914946
083,Biobío,2020-04-07,0.05858164425551476
083,Biobío,2020-04-08,0.06560740537963654
083,Biobío,2020-04-09,0.061008579547934004
083,Biobío,2020-04-10,0.0491038176431721
083,Biobío,2020-04-11,0.04411605178584103
083,Biobío,2020-04-12,0.030510609608970278
083,Biobío,2020-04-13,0.03496626034121675
083,Biobío,2020-04-14,0.032095446944087565
083,Biobío,2020-04-15,0.025069685819965777
083,Biobío,2020-04-16,0.02472954976554401
083,Biobío,2020-04-17,0.03469632717418188
083,Biobío,2020-04-18,0.038770684189715375
083,Biobío,2020-04-19,0.038770684189715375
083,Biobío,2020-04-20,0.03756178670422215
083,Biobío,2020-04-21,0.04279809175255727
083,Biobío,2020-04-22,0.0541359602332829
083,Biobío,2020-04-23,0.053635760153250875
083,Biobío,2020-04-24,0.043668982744613
083,Biobío,2020-04-25,0.03526562140007518
083,Biobío,2020-04-26,0.03526562140007518
083,Biobío,2020-04-27,0.03549753234627184
083,Biobío,2020-04-28,0.025489683052708267
083,Biobío,2020-04-29,0.014151814571982637
083,Biobío,2020-04-30,0.013885510867402227
083,Biobío,2020-05-01,0.013885510867402227
083,Biobío,2020-05-02,0.013885510867402227
083,Biobío,2020-05-03,0.018420658259692475
083,Biobío,2020-05-04,0.013318617443365948
083,Biobío,2020-05-05,0.026444380569129074
083,Biobío,2020-05-06,0.0391742249821418
083,Biobío,2020-05-07,0.04441620316704066
083,Biobío,2020-05-08,0.05513048888132637
083,Biobío,2020-05-09,0.07408092619911064
083,Biobío,2020-05-10,0.07549815975920134
083,Biobío,2020-05-11,0.08880783145396619
083,Biobío,2020-05-12,0.08133817692548813
083,Biobío,2020-05-13,0.09338967362034711
083,Biobío,2020-05-14,0.0996041895018877
083,Biobío,2020-05-15,0.1036682289107547
083,Biobío,2020-05-16,0.10120130807648693
083,Biobío,2020-05-17,0.11310606998124884
083,Biobío,2020-05-18,0.11249481098489668
083,Biobío,2020-05-19,0.11686080319183532
083,Biobío,2020-05-20,0.1103165441508329
083,Biobío,2020-05-21,0.10786142676553291
083,Biobío,2020-05-22,0.11262488061812145
083,Biobío,2020-05-23,0.11453963253287336
083,Biobío,2020-05-24,0.12089556473626319
083,Biobío,2020-05-25,0.13282769390977167
083,Biobío,2020-05-26,0.1399405200342893
083,Biobío,2020-05-27,0.1495446063836683
083,Biobío,2020-05-28,0.16200533567167705
083,Biobío,2020-05-29,0.16581520504758415
083,Biobío,2020-05-30,0.16931474686829387
083,Biobío,2020-05-31,0.16701725622334562
083,Biobío,2020-06-01,0.16012714385655982
083,Biobío,2020-06-02,0.15943472963898792
083,Biobío,2020-06-03,0.1485765782057566
083,Biobío,2020-06-04,0.13472702654334048
083,Biobío,2020-06-05,0.13000891856436295
083,Biobío,2020-06-06,0.12525396548824197
083,Biobío,2020-06-07,0.1211955239298004
083,Biobío,2020-06-08,0.12271673166383035
083,Biobío,2020-06-09,0.13102022766093377
083,Biobío,2020-06-10,0.12923477906697453
083,Biobío,2020-06-11,0.1331404868753057
083,Biobío,2020-06-12,0.13081740769498584
083,Biobío,2020-06-13,0.13936828128183065
083,Biobío,2020-06-14,0.14293970985325924
083,Biobío,2020-06-15,0.1443978108910841
083,Biobío,2020-06-16,0.14731189309591416
083,Biobío,2020-06-17,0.1682085496308686
083,Biobío,2020-06-18,0.18435628349166047
083,Biobío,2020-06-19,0.1929542472077344
083,Biobío,2020-06-20,0.17906689192077155
083,Biobío,2020-06-21,0.1783526062064858
083,Biobío,2020-06-22,0.17852501925642958
083,Biobío,2020-06-23,0.18848174366097295
083,Biobío,2020-06-24,0.17539308459966954
